GENHLTH	EXERANY	HTF	HTI	SMOKE100	WEIGHT	WTDESIRE	AGE	SEX	HEIGHT_IN_INCHES	BMI
2		5	1	1	98		32	2	61	18.514915345337275
3		5	11	1	240		43	1	71	33.469549692521326
2		5	9	1	245		43	1	69	36.176223482461666
2		5	8	2	155		31	1	68	23.565095155709344
2	1.0	5	11	1	210		52	1	71	29.28585598095616
2		5	5	2	230		44	2	65	38.2698224852071
1		5	10	2	290		34	1	70	41.60612244897959
4		6	0	1	150		20	1	72	20.341435185185187
1		5	6	2	135		29	2	66	21.787190082644628
2		5	4	1	132		67	2	64	22.6552734375
1		5	11	2	165		32	1	71	23.01031541360841
2		5	11	2	200		60	1	71	27.891291410434434
2		5	5	1	160		24	2	65	26.622485207100592
4		5	8	1	220		55	1	68	33.44723183391004
3	1.0	5	5	1	145		68	2	65	24.12662721893491
2		5	4	1	134		9	2	64	22.99853515625
2	1.0	5	0	2	130		51	2	60	25.38611111111111
3		5	11	2	185		41	1	71	25.799444554651853
3		5	1	1	225		64	2	61	42.50873421123354
4		5	8	1	170		40	1	68	25.84558823529412
2		5	2	1	180		32	2	62	32.91883454734651
1		5	6	2	175		44	2	66	28.242653810835627
2		5	10	1	190		49	1	70	27.259183673469387
1		6	1	1	200		48	1	73	26.383936948770877
3		5	10	2	209		61	1	70	29.985102040816326
2		5	6	2	195		61	2	66	31.47038567493113
2		6	0	2	180		35	1	72	24.409722222222225
2		5	2	1	240		49	2	62	43.89177939646202
3		6	1	2	196		23	1	73	25.856258209795456
2		5	0	1	155		75	2	60	30.268055555555556
2	1.0	5	9	1	160		39	1	69	23.625288804872927
3		5	11	2	146		50	2	71	20.36064272961714
1		5	6	2	135		32	2	66	21.787190082644628
2	1.0	5	11	2	180	175.0	37	1	71	25.102162269390995
1		5	5	2	143		41	2	65	23.793846153846154
1		6	1	1	175		52	1	73	23.08594483017452
2		5	7	1	180		53	2	67	28.188906215192695
1		6	1	2	210		43	1	73	27.70313379620942
4	2.0	5	6	1	170		67	1	66	27.435720844811755
3		5	10	2	238		68	1	70	34.145714285714284
2		5	2	2	130		62	2	62	23.77471383975026
2	2.0	5	6	1	150		40	1	66	24.207988980716255
3	1.0	5	5	2	140		42	2	65	23.294674556213018
1		5	8	2	200		30	1	68	30.406574394463664
3	1.0	5	7	1	148		31	1	67	23.177545110269545
3		5	11	1	200		28	1	71	27.891291410434434
2		6	1	1	170		65	1	73	22.426346406455245
1		5	10	1	190		38	1	70	27.259183673469387
3		5	2	1	140		69	2	62	25.60353798126951
3		5	5	2	150		32	2	65	24.958579881656807
1		5	8	1	265		56	1	68	40.288711072664356
4		5	9	2	150		33	1	69	22.148708254568366
1	2.0	5	3	1	165		36	2	63	29.225245653817083
2	1.0	6	0	2	175		9	1	72	23.731674382716047
2		5	6	2	125		27	2	66	20.173324150596876
1		5	5	2	123		34	2	65	20.46603550295858
5		5	7	1	172		77	2	67	26.936065938961903
2	1.0	5	2	1	130		64	2	62	23.77471383975026
4		5	5	2	160		65	2	65	26.622485207100592
4		5	1	2	100		92	2	61	18.892770760548242
1		5	7	1	180		43	1	67	28.188906215192695
4		4	11	2	104		71	2	59	21.00316001149095
3		5	11	2	204		38	1	71	28.449117238643126
1		5	11	2	165		26	1	71	23.01031541360841
2	1.0	5	6	2	145		39	2	66	23.401056014692376
5		5	7	1	125		23	1	67	19.575629316106035
3	2.0	5	9	2	214		71	1	69	31.598823776517538
4		5	9	2	250		53	1	69	36.914513757613946
5		5	4	2	250		18	2	64	42.90771484375
2		5	6	2	230		38	2	66	37.11891643709825
2	1.0	5	3	2	140		37	2	63	24.797178130511462
2		5	2	7	105		70	2	62	19.202653485952133
1		5	6	2	150		31	2	66	24.207988980716255
2	2.0	5	10	2	150		69	1	70	21.520408163265305
3		5	9	1	160		19	1	69	23.625288804872927
3		6	1	2	180		47	1	73	23.74554325389379
3		5	7	2	130		30	2	67	20.35865448875028
1		5	11	1	184		44	1	71	25.659988097599683
3		5	1	1	200		35	2	61	37.785541521096484
3		5	0	2	160		57	2	60	31.244444444444447
3		5	2	1	125		32	2	62	22.86030176899063
1	1.0	5	7	2	170		55	1	67	26.622855869904207
2		5	2	2	122		39	2	62	22.31165452653486
2		5	9	1	160		36	1	69	23.625288804872927
2		5	3	1	130		57	2	63	23.025951121189216
3		5	2	2	110		59	2	62	20.117065556711758
2	1.0	5	10	2	158		26	2	70	22.66816326530612
2		5	10	2	160		27	1	70	22.955102040816328
3	1.0	5	11	1	170		58	1	71	23.70759769886927
4		6	0	1	200		41	1	72	27.12191358024691
3		5	6	2	162		47	2	66	26.144628099173556
2		5	5	1	120		21	2	65	19.966863905325443
2		5	4	1	150		42	2	64	25.74462890625
1		5	7	2	160		35	1	67	25.05680552461573
2		5	9	1	170		32	2	69	25.101869355177485
2		6	0	2	210		26	1	72	28.47800925925926
3	1.0	5	9	1	189	189.0	66	1	69	27.90737240075614
3		5	4	1	165		73	2	64	28.319091796875
2		5	8	1	135		24	1	68	20.524437716262977
2		5	7	1	240		42	2	67	37.58520828692359
2		6	0	2	190		65	1	72	25.76581790123457
1		5	3	2	120		41	2	63	21.25472411186697
4		5	1	2	109		77	2	61	20.593120128997583
2		6	2	2	225		51	1	74	28.885135135135133
3		5	8	1	200		40	1	68	30.406574394463664
3	2.0	5	7	1	165		46	1	67	25.83983069725997
3		5	1	2	218		52	2	61	41.186240257995166
5		5	2	2	153		55	2	62	27.981009365244535
3		5	2	1	150		43	2	62	27.43236212278876
3		5	6	2	190		52	1	66	30.663452708907254
2		5	10	2	190		32	1	70	27.259183673469387
1		5	8	2	140		23	2	68	21.284602076124568
2		5	6	2	127		46	2	66	20.496097337006425
3	2.0	5	4	2	155		75	2	64	26.602783203125
2	1.0	5	9	1	225	200.0	50	1	69	33.22306238185255
2		6	0	1	178		81	1	72	24.138503086419753
2		5	10	2	160		35	1	70	22.955102040816328
2		5	8	1	165		23	1	68	25.085423875432525
1		5	11	1	150		29	1	71	20.91846855782583
2		5	9	1	130		69	1	69	19.195547153959254
4	2.0	5	11	1	145		24	1	71	20.221186272564967
2	1.0	5	9	1	165		32	2	69	24.363579080025207
4		5	3	2	140		85	2	63	24.797178130511462
1		5	10	1	150		31	2	70	21.520408163265305
3		6	3	1	195		20	1	75	24.370666666666665
3	2.0	5	0	1	160		50	1	60	31.244444444444447
2		5	4	2	185		29	2	64	31.751708984375
1		5	7	1	130		57	2	67	20.35865448875028
2	1.0	5	9	1	220		45	1	69	32.48477210670028
2		5	6	2	150		35	2	66	24.207988980716255
3	1.0	5	8	1	200		79	1	68	30.406574394463664
3		5	8	1	175		40	1	68	26.605752595155707
4		6	2	2	297		29	1	74	38.12837837837838
3		6	0	1	245		46	1	72	33.22434413580247
1		5	6	1	153		27	2	66	24.69214876033058
3	2.0	5	3	2	170		40	2	63	30.110859158478206
3		5	10	2	155		41	1	70	22.237755102040815
3	1.0	5	4	1	155		47	1	64	26.602783203125
2		5	5	1	170		40	2	65	28.286390532544377
5		5	3	2	150		41	2	63	26.56840513983371
3		5	5	1	230		46	2	65	38.2698224852071
2		5	8	2	160		47	1	68	24.325259515570938
2		5	11	2	185		39	1	71	25.799444554651853
2		5	6	1	140		42	2	66	22.594123048668507
4		5	5	1	220		64	1	65	36.605917159763315
1	1.0	4	11	2	145	115.0	28	2	59	29.28325193909796
2	1.0	5	5	1	135	128.0	44	2	65	22.46272189349112
3		5	2	1	160		42	2	62	29.261186264308012
2		5	6	2	160		44	2	66	25.821854912764003
3		6	3	2	190		33	1	75	23.745777777777775
2	1.0	5	8	2	127		33	2	68	19.30817474048443
1		5	11	1	250		44	2	71	34.86411426304305
3		5	0	2	122		41	2	60	23.82388888888889
3	2.0	5	3	2	190		58	2	63	33.653313177122705
4		5	0	2	131		54	2	60	25.58138888888889
3		5	5	1	127		20	2	65	21.131597633136096
2		5	2	1	200		72	2	62	36.57648283038502
3		5	2	1	141		45	2	62	25.786420395421434
3		5	5	1	122		49	2	65	20.299644970414203
3		6	1	1	205		33	1	73	27.043535372490147
4		6	1	2	189		76	1	73	24.932820416588477
2	1.0	5	2	2	155		42	2	62	28.346774193548388
3		5	8	2	180		69	2	68	27.3659169550173
1		6	2	2	202		37	1	74	25.93243243243243
4		5	7	2	190		66	1	67	29.754956560481176
4		5	4	2	160		69	2	64	27.4609375
3		6	0	1	220		80	1	72	29.834104938271604
2		5	5	2	135		62	2	65	22.46272189349112
3		5	7	2	135		82	2	67	21.14167966139452
4		5	3	2	140		45	2	63	24.797178130511462
3		5	6	2	157		33	1	66	25.337695133149676
3		5	1	2	105		84	2	61	19.83740929857565
5		5	1	1	150		77	2	61	28.339156140822357
1		5	8	1	165		32	1	68	25.085423875432525
3		5	6	2	130		23	2	66	20.980257116620752
3		5	3	1	135		32	2	63	23.911564625850342
3		5	2	1	148		44	2	62	27.066597294484914
2		5	11	1	200		71	1	71	27.891291410434434
2		5	0	1	140		76	2	60	27.33888888888889
2	1.0	6	1	1	175	170.0	42	2	73	23.08594483017452
1		5	11	2	195		28	1	71	27.19400912517358
2		5	8	1	175		43	1	68	26.605752595155707
1		5	1	1	140		52	2	61	26.449879064767536
1		5	9	1	178		40	1	69	26.28313379542113
2		5	5	2	155		56	2	65	25.790532544378696
3		5	2	2	105		41	2	62	19.202653485952133
1		5	5	2	140		53	2	65	23.294674556213018
3		5	8	1	170		85	1	68	25.84558823529412
1		5	4	2	120		42	2	64	20.595703125
1		5	6	1	110		46	2	66	17.752525252525253
4		5	5	2	170		54	2	65	28.286390532544377
2		6	0	2	190		33	1	72	25.76581790123457
1		5	10	1	200		54	1	70	28.693877551020407
4		5	4	2	135		33	2	64	23.170166015625
2		5	5	2	170		34	2	65	28.286390532544377
1		5	8	2	165		66	2	68	25.085423875432525
3		5	3	2	200		73	2	63	35.42454018644495
3		5	5	2	147		46	1	65	24.45940828402367
3	2.0	5	8	1	148		64	2	68	22.500865051903112
2		6	5	2	230		36	1	77	27.271040647664023
2		5	9	1	165		46	1	69	24.363579080025207
4		5	0	2	142		85	2	60	27.729444444444443
2		5	4	1	143		59	2	64	24.543212890625
2		5	8	2	165		28	1	68	25.085423875432525
4		5	11	1	180		25	1	71	25.102162269390995
2	1.0	5	7	1	195		71	1	67	30.537981733125417
3		5	5	2	170		84	1	65	28.286390532544377
2		5	8	2	195		24	1	68	29.646410034602077
2	1.0	5	8	1	170	160.0	64	1	68	25.84558823529412
2		5	4	1	170		51	2	64	29.17724609375
3		6	0	2	174		73	1	72	23.596064814814817
3		5	6	2	160		23	1	66	25.821854912764003
1		5	9	2	165		38	1	69	24.363579080025207
3	1.0	5	6	1	150	147.0	33	2	66	24.207988980716255
4		5	3	2	134		46	2	63	23.734441924918112
1		5	2	2	147		65	2	62	26.883714880332985
4		5	5	2	143		83	2	65	23.793846153846154
2	1.0	5	2	2	158		54	2	62	28.89542143600416
1	2.0	5	2	2	164		43	2	62	29.99271592091571
2		5	10	2	150		35	2	70	21.520408163265305
2		5	5	1	125		45	2	65	20.798816568047336
2		5	8	1	145		75	2	68	22.044766435986162
2		5	5	2	145		43	2	65	24.12662721893491
2		5	3	2	106		18	2	63	18.775006298815825
2		5	6	1	155		34	2	66	25.01492194674013
2		6	2	1	175		57	1	74	22.466216216216218
2		5	4	1	141		32	2	64	24.199951171875
2	1.0	5	3	1	120	115.0	28	2	63	21.25472411186697
2		5	5	1	125		32	2	65	20.798816568047336
3		5	6	1	260		57	2	66	41.960514233241504
1	2.0	5	3	2	132		47	2	63	23.380196523053666
1	1.0	5	4	1	139	125.0	43	2	64	23.856689453125
2		5	3	1	149		9	2	63	26.391282438901488
3	1.0	5	10	1	220		61	1	70	31.563265306122446
1		5	7	2	155		43	2	67	24.273780351971485
3		5	1	2	140		75	2	61	26.449879064767536
3		5	6	2	140		45	2	66	22.594123048668507
1		5	8	2	160		28	2	68	24.325259515570938
4		5	5	2	141		47	2	65	23.461065088757397
2		5	7	2	150		75	2	67	23.49075517932724
2		5	4	1	140		48	2	64	24.0283203125
2		5	10	1	165		63	1	70	23.672448979591838
4		5	10	1	190		35	1	70	27.259183673469387
4		5	3	2	140		73	2	63	24.797178130511462
2		5	10	2	170		29	1	70	24.389795918367348
3		5	8	2	180		47	2	68	27.3659169550173
2		5	11	1	230		28	1	71	32.0749851219996
2	1.0	5	10	1	230		45	1	70	32.99795918367347
3		5	3	1	114		85	2	63	20.19198790627362
2	2.0	5	7	1	194	145.0	21	2	67	30.381376698596572
3		6	1	1	195		25	1	73	25.724338525051607
3		5	8	2	230		45	2	68	34.96756055363322
1		5	10	1	154		58	1	70	22.094285714285714
3		5	9	2	190		79	2	69	28.0550304557866
3		5	3	1	145		37	2	63	25.68279163517259
1		5	10	1	185		27	1	70	26.541836734693877
2		6	3	1	240		44	1	75	29.994666666666667
1		5	2	2	125		22	2	62	22.86030176899063
3		6	1	2	200		35	1	73	26.383936948770877
3		6	0	1	145		44	2	72	19.663387345679013
2		5	4	2	135		72	2	64	23.170166015625
4	2.0	5	7	1	225		49	1	67	35.23613276899087
2		6	0	2	190		23	1	72	25.76581790123457
4		5	0	2	114		75	2	60	22.26166666666667
4		6	1	2	265		45	1	73	34.95871645712141
1		5	6	1	130		32	2	66	20.980257116620752
3		5	10	2	180		73	1	70	25.82448979591837
2	1.0	5	9	2	185	170.0	78	1	69	27.31674018063432
1	1.0	5	11	2	225		45	1	71	31.37770283673874
5		5	7	1	153		72	1	67	23.96057028291379
1		5	6	1	125		30	2	66	20.173324150596876
3		6	2	1	205		42	1	74	26.31756756756757
2		5	2	2	120		46	2	62	21.94588969823101
1	1.0	5	8	1	128		51	2	68	19.46020761245675
3		5	3	2	156		29	2	63	27.63114134542706
4	1.0	5	0	2	170		41	2	60	33.19722222222222
4		5	4	1	125		52	2	64	21.453857421875
2		5	5	1	123		64	2	65	20.46603550295858
4	9.0	5	0	2	100		72	2	60	19.527777777777775
2		6	1	1	185		20	1	73	24.405141677613063
3		5	10	2	195		21	1	70	27.976530612244897
2		5	11	2	170		25	1	71	23.70759769886927
2		5	7	1	156		44	1	67	24.430385386500337
4		6	0	1	210		75	1	72	28.47800925925926
1		6	1	2	130		27	1	73	17.14955901670107
2		5	3	1	138		66	2	63	24.442932728647015
3		5	9	2	210		21	1	69	31.008191556395715
2		6	2	2	240		38	1	74	30.81081081081081
1		5	8	2	170		58	1	68	25.84558823529412
1		5	7	2	135		32	2	67	21.14167966139452
2		5	6	2	142		60	2	66	22.916896235078053
4		5	10	1	175		36	1	70	25.107142857142854
3		5	4	1	200		65	2	64	34.326171875
1		5	9	2	190		37	1	69	28.0550304557866
2		5	11	1	140		54	2	71	19.523903987304106
2		5	7	2	163		41	1	67	25.526620628202274
1		5	8	1	190		69	1	68	28.886245674740483
4		5	7	1	310		50	1	67	48.54756070394297
3		6	4	1	222		53	1	76	27.019736842105264
4	1.0	5	0	1	150		37	2	60	29.291666666666664
4		5	6	1	260		66	2	66	41.960514233241504
2		6	1	2	200		40	1	73	26.383936948770877
2		5	5	1	160		66	2	65	26.622485207100592
2		5	8	2	160		36	2	68	24.325259515570938
2		5	2	2	144		54	2	62	26.33506763787721
5	2.0	5	3	1	185		71	2	63	32.767699672461575
2		5	4	2	135		25	2	64	23.170166015625
3		5	6	1	145		70	2	66	23.401056014692376
3		5	7	2	171		55	2	67	26.77946090443306
3	2.0	5	4	1	139		65	2	64	23.856689453125
1		5	4	2	160		37	2	64	27.4609375
1		6	2	2	185		23	1	74	23.75
2	2.0	6	0	2	214		59	1	72	29.0204475308642
2		5	2	7	207		42	2	62	37.856659729448495
2		5	9	2	195		73	2	69	28.793320730938877
4		5	9	1	170		60	1	69	25.101869355177485
2		5	7	1	140		51	2	67	21.924704834038764
2		5	6	1	180		41	2	66	29.049586776859506
1		5	4	2	148		23	2	64	25.4013671875
4		5	6	2	160		75	2	66	25.821854912764003
2		5	6	2	139		69	2	66	22.432736455463726
3		5	4	1	125		37	2	64	21.453857421875
2		5	4	2	105		19	2	64	18.021240234375
3		6	2	2	260		24	1	74	33.37837837837838
2		5	6	2	140		70	2	66	22.594123048668507
5		5	6	2	170		75	2	66	27.435720844811755
1		5	3	2	140		82	2	63	24.797178130511462
4		5	2	2	130		76	2	62	23.77471383975026
3		5	5	1	185		47	1	65	30.782248520710063
5		5	5	2	205		82	2	65	34.110059171597634
3		5	4	2	110		84	2	64	18.87939453125
2		5	11	1	170		66	1	71	23.70759769886927
5		5	8	2	110		50	1	68	16.72361591695502
2	1.0	5	8	1	180		52	1	68	27.3659169550173
3		5	11	2	230		33	1	71	32.0749851219996
3		5	4	2	110		20	2	64	18.87939453125
3		5	8	2	170		70	2	68	25.84558823529412
1		5	8	2	135		22	1	68	20.524437716262977
3	1.0	5	6	1	210		53	1	66	33.891184573002754
2		5	11	1	190		65	1	71	26.496726839912714
3		5	9	1	165		30	1	69	24.363579080025207
4		5	8	1	185		40	1	68	28.126081314878896
3	1.0	5	9	1	170		30	1	69	25.101869355177485
2	1.0	5	9	1	185		55	1	69	27.31674018063432
1		5	6	2	180		43	2	66	29.049586776859506
4		5	7	2	165		75	2	67	25.83983069725997
2		6	0	2	150		23	1	72	20.341435185185187
1		5	3	1	125		46	2	63	22.140337616528093
2	1.0	5	7	1	165		45	1	67	25.83983069725997
2		5	0	1	126		53	2	60	24.605000000000004
3	1.0	5	1	2	125		53	2	61	23.6159634506853
2		5	6	1	145		44	2	66	23.401056014692376
3		5	10	1	210		46	2	70	30.12857142857143
1		5	9	1	158		47	2	69	23.329972694812014
3		5	6	1	160		60	2	66	25.821854912764003
1	1.0	5	8	2	166		50	2	68	25.237456747404845
1		5	5	1	108		35	2	65	17.9701775147929
1		6	0	1	160		67	1	72	21.697530864197528
3	1.0	6	1	1	275		38	1	73	36.27791330455995
1		6	1	2	155		22	1	73	20.447551135297427
4		5	9	1	218		36	1	69	32.18945599663936
3		9	99	1	155		49	2	207	2.5429998366356275
3		5	10	1	175		47	1	70	25.107142857142854
4		5	9	1	218		36	2	69	32.18945599663936
5		5	1	2	124		50	2	61	23.42703574307982
2		5	6	2	116		57	2	66	18.720844811753903
3		5	10	2	215		39	1	70	30.845918367346936
1		5	4	1	150		25	2	64	25.74462890625
2		5	3	2	126		52	2	63	22.317460317460316
2		5	5	2	117		45	2	65	19.467692307692307
2		5	4	1	130		68	2	64	22.31201171875
2		5	6	1	180		52	2	66	29.049586776859506
2		6	1	2	170		29	1	73	22.426346406455245
2		5	2	1	178		61	2	62	32.55306971904266
3		5	8	1	200		42	1	68	30.406574394463664
2		5	2	1	175		44	2	62	32.00442247658689
3		5	6	1	152		56	1	66	24.530762167125804
3		5	6	2	145		46	2	66	23.401056014692376
2	1.0	5	4	1	150	130.0	64	2	64	25.74462890625
4		5	6	1	178		63	2	66	28.726813590449954
4		5	6	1	234		67	2	66	37.764462809917354
4		6	1	1	210		56	1	73	27.70313379620942
4		5	2	1	108		64	2	62	19.75130072840791
1		5	10	1	162		45	2	70	23.242040816326533
2		5	10	1	120		33	2	70	17.216326530612243
2		5	11	1	279		55	1	71	38.90835151755604
1		5	8	2	150		35	1	68	22.80493079584775
2		5	4	1	150		44	2	64	25.74462890625
3		5	7	2	275		36	2	67	43.06638449543328
3		5	5	2	150		35	2	65	24.958579881656807
1	1.0	5	4	7	260		21	2	64	44.6240234375
2		5	3	2	123		69	2	63	21.786092214663643
2		5	9	2	200		32	1	69	29.531611006091154
1	1.0	5	8	2	180	180.0	37	1	68	27.3659169550173
2	1.0	5	7	2	135		36	2	67	21.14167966139452
2		5	7	1	123		44	2	67	19.26241924704834
4		5	6	2	175		81	2	66	28.242653810835627
2		5	7	2	190		60	2	67	29.754956560481176
4		4	7	2	130		66	2	55	30.211570247933885
2		5	5	2	130		75	2	65	21.630769230769232
2		5	2	1	215		60	2	62	39.31971904266389
2		5	9	2	280		45	1	69	41.34425540852762
3		5	3	2	140		33	2	63	24.797178130511462
1		6	1	2	180		39	1	73	23.74554325389379
3	1.0	5	8	2	125		34	2	68	19.00410899653979
2		5	2	2	180		49	2	62	32.91883454734651
3		5	8	2	178		61	2	68	27.061851211072664
2		5	4	2	145		44	1	64	24.886474609375
4		5	8	2	194		57	2	68	29.494377162629757
3		5	5	2	110		35	2	65	18.302958579881658
2	1.0	5	9	2	197		51	1	69	29.08863684099979
4		5	1	1	140		36	2	61	26.449879064767536
1		5	5	1	142		26	2	65	23.627455621301774
2		5	1	1	139		59	2	61	26.26095135716205
1		5	6	2	170		23	2	66	27.435720844811755
2		5	6	1	135		9	2	66	21.787190082644628
2		5	3	1	145		49	2	63	25.68279163517259
3		5	5	2	140		46	2	65	23.294674556213018
2		5	8	2	155		40	1	68	23.565095155709344
2		5	5	2	147		66	2	65	24.45940828402367
1		5	2	2	103		34	2	62	18.83688865764828
4		5	4	2	125		78	2	64	21.453857421875
3		5	6	1	200		52	1	66	32.277318640955
3		5	7	2	178		47	2	67	27.875696146135
2		5	9	1	130		42	1	69	19.195547153959254
3		5	6	2	188		45	2	66	30.3406795224977
2		5	10	1	189		36	1	70	27.115714285714283
1		5	9	1	165		52	1	69	24.363579080025207
2	1.0	5	9	1	160		24	1	69	23.625288804872927
1	2.0	5	0	2	189		29	2	60	36.9075
2		5	11	1	130		39	1	71	18.129339416782383
1		6	0	2	250		56	1	72	33.90239197530864
3		5	8	1	205		74	1	68	31.16673875432526
3		5	6	2	138		73	2	66	22.271349862258955
2		5	4	1	200		49	2	64	34.326171875
3		5	3	2	149		39	2	63	26.391282438901488
4		5	4	1	150		50	2	64	25.74462890625
2		5	10	2	165		28	1	70	23.672448979591838
2		5	8	2	180		28	2	68	27.3659169550173
3		5	3	2	170		68	2	63	30.110859158478206
